"","GID","Lat","Long","SiteCode","ToBufDist","DateDeployed","DateCollected","TrapStatus","FemaleAeaeg","MaleAeaeg","FemalesTested","FemaleAeaeg2","Female_wMel","Female_wMelPop","MalesTested","MaleAeaeg2","Male_wMel","Male_wMelPop","DayDeployed","DayCollected","DaysActive"
"166",26687,-16.92112,145.76051,"PP12",0,2013-01-29,2013-02-05,TRUE,58,101,58,58,15,0,101,101,23,0,28,35,7
"167",67089,-16.91863,145.76443,"PP26",0,2013-01-29,2013-02-05,TRUE,18,13,18,18,14,0,13,13,9,0,28,35,7
"168",23463,-16.91717,145.76106,"PP11-1",0,2013-01-29,2013-02-05,TRUE,7,1,7,7,3,0,1,1,0,0,28,35,7
"169",22950,-16.91897,145.76313,"PP25",0,2013-01-29,2013-02-05,TRUE,16,6,16,16,7,0,6,6,5,0,28,35,7
"170",573,-16.92339,145.76163,"PP10",0,2013-01-29,2013-02-05,TRUE,9,9,9,9,6,0,9,9,4,0,28,35,7
"171",602,-16.92344,145.76225,"PP09",0,2013-01-29,2013-02-05,TRUE,18,13,18,18,11,0,13,13,4,0,28,35,7
"172",619,-16.92303,145.76327,"PP08",0,2013-01-29,2013-02-05,TRUE,12,9,12,12,4,0,9,9,3,0,28,35,7
"173",626,-16.92237,145.7633,"PP07",0,2013-01-29,2013-02-05,TRUE,15,7,15,15,3,0,7,7,2,0,28,35,7
"174",651,-16.92109,145.76342,"PP06",0,2013-01-29,2013-02-05,TRUE,12,5,12,12,8,0,5,5,1,0,28,35,7
"175",643,-16.92186,145.76408,"PP05",0,2013-01-29,2013-02-05,TRUE,15,18,15,15,5,0,18,18,8,0,28,35,7
"176",26646,-16.92096,145.76434,"PP04",0,2013-01-29,2013-02-05,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,28,35,7
"177",13424,-16.91982,145.7657,"PP02",0,2013-01-29,2013-02-05,TRUE,10,2,10,10,8,0,2,2,0,0,28,35,7
"178",478,-16.91868,145.76137,"PP17",0,2013-01-29,2013-02-05,TRUE,12,2,12,12,8,0,2,2,1,0,28,35,7
"179",450,-16.91655,145.75955,"PP23",0,2013-01-29,2013-02-05,TRUE,10,1,10,10,5,0,1,1,1,0,28,35,7
"180",35627,-16.91646,145.75845,"PP21",0,2013-01-29,2013-02-05,TRUE,10,1,10,10,3,0,1,1,1,0,28,35,7
"181",435,-16.91749,145.75932,"PP20-1",0,2013-01-29,2013-02-05,TRUE,9,11,9,9,0,0,11,11,3,0,28,35,7
"182",36629,-16.92062,145.76477,"PP03",0,2013-01-29,2013-02-05,TRUE,3,0,3,3,2,0,NA,NA,NA,NA,28,35,7
